ecoHydro,month,T1,T2,change,PerDif,p.value
Middle Rockies,Jul,13104.2914027555,12628.5438802746,-475.74752248094,-3.63047117817375,0.422758780613809
Mojave-Sonoran Deserts,Jul,160.478773600643,176.771976066215,16.2932024655721,10.1528707504447,0.682660043646953
Northern Plains,Jul,13611.1826221855,12067.4049532698,-1543.77766891567,-11.3419804271775,0.00283464791244857
Northern Rockies,Jul,3906.2013282819,3340.92763903025,-565.273689251653,-14.471186755248,0.00000273053780256037
Pacific NW,Jul,24686.8367720237,19228.5191134286,-5458.31765859506,-22.1102351386739,0.00368549583314018
Southern Plains,Jul,6275.28379649942,3602.74907237644,-2672.53472412298,-42.5882686869687,0.00000207575723722574
Southern Rockies and Basins,Jul,27882.590668202,24401.4480206162,-3481.1426475858,-12.4850043133036,0.0307354340185123
Great Basin-Colorado Plateau,Aug,215780.474792091,140146.511759874,-75633.9630322171,-35.0513470253006,0.00000000171408524956708
Middle Rockies,Aug,10930.9239653813,8890.51153447767,-2040.41243090365,-18.6664223204344,0.000024057186477674
Mojave-Sonoran Deserts,Aug,142.386886131343,142.598767861885,0.21188173054199,0.14880705400534,0.76259226460238
Northern Plains,Aug,13473.7284057971,11412.4771558285,-2061.25124996863,-15.298298940639,0.000000870755306780079
Northern Rockies,Aug,3473.32173433688,2937.02180217003,-536.299932166842,-15.4405486501593,0.0000555997832402075
Pacific NW,Aug,21057.1334622766,16960.1906282287,-4096.94283404787,-19.4563179332432,0.0053812026606614
Southern Plains,Aug,7935.08409160623,3647.08946476668,-4287.99462683955,-54.0384270328706,0.00000000171408524956708
Southern Rockies and Basins,Aug,25350.2285368578,18762.7496071172,-6587.47892974064,-25.9858759070468,0.00000000171408524956708
Great Basin-Colorado Plateau,Sept,207604.775527236,138893.133341502,-68711.6421857339,-33.0973321838252,0.00000117243431070389
Middle Rockies,Sept,10950.8177764433,10194.7873138765,-756.030462566751,-6.9038721856287,0.0531138179773964
Mojave-Sonoran Deserts,Sept,166.436867125079,132.657630817977,-33.7792363071014,-20.2955251985824,0.0406740893928539
Northern Plains,Sept,12180.1185388402,10052.0152837338,-2128.10325510639,-17.4719420695312,0.0000000119985967469696
Northern Rockies,Sept,3663.02697228235,2901.36427450679,-761.662697775552,-20.7932593327583,0.0000678674913713591
Pacific NW,Sept,17121.9114524025,13628.657112092,-3493.25434031053,-20.4022450999206,0.00867601732737925
Southern Plains,Sept,7144.93461437095,3878.27619336635,-3266.6584210046,-45.7199204375392,0.00000000171408524956708
Southern Rockies and Basins,Sept,18233.7905849445,13296.3065003049,-4937.4840846396,-27.0787583176284,0.00000000171408524956708
