siteName,Latitude,Longitude,ecoHydro,ownAg,t1,t2,change,p.value
Carroll Lake,41.413979,-105.717884,Southern Rockies and Basins,Private,1501.71594917372,1320.82890240229,-12.0453569712011,0.326477223736574
Reeder Overflow,41.437437,-112.094946,Great Basin-Colorado Plateau,Private,7277.41488209203,4610.56991966195,-36.6454985133875,0.00000594101947499951
Quinn River,41.448792,-117.500499,Great Basin-Colorado Plateau,Private,1744.33274017007,2204.48783963158,26.3800070287421,0.382453468091973
Modoc NWR,41.45752778,-120.5219444,Pacific NW,Private,711.070728280261,734.229522235985,3.25689035347214,0.510218928024626
Quinn River,41.484609,-117.507758,Great Basin-Colorado Plateau,Private,1662.35555463716,2182.75943117473,31.3052087494697,0.363191282546376
Chesapeake Club,41.485191,-112.17089,Great Basin-Colorado Plateau,Private,7571.56955647985,4989.11236554478,-34.1072900627977,0.0000193023139953749
Bear River MBR,41.485882,-112.327199,Great Basin-Colorado Plateau,Private,17097.9819385734,11686.1359398881,-31.6519576294325,0.0000154079123083585
Knudsons Marsh,41.48595,-112.097674,Great Basin-Colorado Plateau,Private,7415.80086478566,4859.59962022807,-34.4696586540754,0.00000967258306330706
Bear River MBR,41.487828,-112.321693,Great Basin-Colorado Plateau,Private,17108.4559971841,11694.3002308904,-31.6460805532939,0.0000154079123083585
Bear River Club,41.499041,-112.231805,Great Basin-Colorado Plateau,Private,9071.7872998211,5949.06459201176,-34.4223536620057,0.000024057186477674
Quinn River Lakes,41.512808,-118.152006,Great Basin-Colorado Plateau,Private,128.771360546783,22.4654537328139,-82.5539983134277,0.00041189639955622
South Corrine,41.527068,-112.120066,Great Basin-Colorado Plateau,Private,7483.15902330016,4983.47178110087,-33.4041710782314,0.0000154079123083585
Public Shooting Grounds WMA,41.579441,-112.316794,Great Basin-Colorado Plateau,Private,7591.62935274683,5646.94010918162,-25.6162301029828,0.0000555997832402075
Fairchild Swamp,41.60933285,-120.8513553,Pacific NW,Private,536.178913792443,497.198209133095,-7.2700928098113,0.443784934717906
Cutler Marsh,41.758283,-111.939667,Great Basin-Colorado Plateau,Private,2453.42511105116,2212.33620039112,-9.82662603289101,0.0684712521892404
Ambler Spring,41.905218,-106.049253,Southern Rockies and Basins,Private,553.39897783366,589.314979485292,6.49007372442739,0.275974818065063
Cokeville Meadows NWR,41.924071,-110.990207,Southern Rockies and Basins,Private,2544.89023386113,2370.84945717003,-6.83883235415791,0.203901314592828
Tule Lake NWR,41.92861111,-121.5069444,Pacific NW,Private,189.444650381109,150.730645233582,-20.4355230246119,0.217126918696677
Quinn River,41.93956,-117.725305,Great Basin-Colorado Plateau,Private,2458.89107223089,3488.60959832567,41.8773542969736,0.292198722370563
Quinn River,41.953392,-117.72557,Great Basin-Colorado Plateau,Private,2458.89107223089,3488.60959832567,41.8773542969736,0.292198722370563
Quinn River,41.981998,-117.768458,Great Basin-Colorado Plateau,Private,2458.89107223089,3488.60959832567,41.8773542969736,0.292198722370563
Lower Klamath NWR,41.98749922,-121.7372991,Pacific NW,Private,1568.45179699846,1350.24619118781,-13.9121652465332,0.0108956188846634
Duck Valley,42.09002,-116.134197,Great Basin-Colorado Plateau,Private,274.931927961661,293.776102029903,6.85412356722311,0.789842685626712
Goose Lake,42.1043,-120.3676,Pacific NW,Private,3963.19026287297,3179.10540521186,-19.7841840954847,0.00867601732737925
Twenty-mile Slough,42.13611111,-119.8838889,Great Basin-Colorado Plateau,Private,1903.42843673517,1794.69560298323,-5.71247290696393,0.510218928024626
Greaser Reservoir,42.1481,-119.8303,Great Basin-Colorado Plateau,Private,1974.29617933059,1849.40603669504,-6.32580582098347,0.487528517129167
Bear Lake NWR,42.14883,-111.2950882,Southern Rockies and Basins,Private,4364.40972016364,3853.16731199742,-11.713895828897,0.00368549583314018
Old Eden Reservoir,42.213162,-109.364222,Southern Rockies and Basins,Private,194.920009709543,182.882688132496,-6.17551866274967,0.98582866821464
Oxford Slough WPA,42.25039,-112.0019836,Great Basin-Colorado Plateau,Private,1038.48823069265,982.439506746363,-5.39714580192274,0.363191282546376
Crump Lake,42.2712,-119.8551,Great Basin-Colorado Plateau,Private,1779.81851308343,1603.59276748527,-9.90133231577969,0.363191282546376
Hart Lake,42.44722222,-119.8719444,Great Basin-Colorado Plateau,Private,1166.22157538878,571.165171842289,-51.0243007078752,0.00041189639955622
Smokey Lake,42.4476,-121.368,Pacific NW,Private,1212.72021243254,1053.01545945819,-13.1691342600784,0.0684712521892404
Anderson Lake,42.50527778,-119.8261111,Great Basin-Colorado Plateau,Private,902.065462795201,358.837058593685,-60.2205080015181,0.0000999688799252515
Hawkins Reservoir,42.51312,-112.337431,Great Basin-Colorado Plateau,Private,535.341490311737,442.392401465481,-17.3625789385631,0.0108956188846634
Chewaucan Marshes,42.5587,-120.3841,Great Basin-Colorado Plateau,Private,2394.70278467645,2965.21075178339,23.8237484316461,0.0279096325000368
Chester Hill Reservoir,42.69563,-111.6138013,Great Basin-Colorado Plateau,Private,1076.5995883268,952.364455536543,-11.5395857603231,0.126977990314064
Lake Abert,42.69583333,-120.2788889,Great Basin-Colorado Plateau,Private,2580.86528382632,2786.63764797435,7.97299903398902,0.326477223736574
Sycan Marsh,42.83611111,-121.065,Pacific NW,Private,2037.74687885235,2657.52402263878,30.4148248351373,0.0168271594682328
Knox Pond,42.8825,-118.8611111,Great Basin-Colorado Plateau,Private,49.0661759785482,53.8063904719802,9.66085984671888,0.631172590892391
Faye Field,42.89027778,-118.8861111,Great Basin-Colorado Plateau,Private,48.1899477339759,52.6962594997738,9.35114474635722,0.631172590892391
Blackfoot Reservoir,42.90993,-111.6204183,Great Basin-Colorado Plateau,Private,679.722395248923,619.198052671001,-8.90427371541251,0.656717966752763
Summer Lake WMA,42.92138889,-120.7761111,Great Basin-Colorado Plateau,Private,1356.89679275322,1054.66977059079,-22.2733979309653,0.0578875436833555
Schoolhouse Lake,42.95277778,-120.7138889,Great Basin-Colorado Plateau,Private,1321.65477570444,1019.66582753402,-22.8493063182455,0.0578875436833555
Sterling WMA,42.976963,-112.782963,Great Basin-Colorado Plateau,Private,496.016673389597,490.881447590825,-1.03529297990714,0.735625500689658
Grays Lake NWR,43.00889,-111.426543,Middle Rockies,Private,998.757514231364,868.743061776601,-13.0176194523874,0.510218928024626
American Falls Reservoir,43.02687,-112.6435812,Great Basin-Colorado Plateau,Private,537.987589620335,546.43773851291,1.57069587767601,0.76259226460238
Diamond Swamp,43.03333333,-118.7938889,Great Basin-Colorado Plateau,Private,625.760429478416,585.958754207481,-6.36052926902241,0.443784934717906
Retherford Lake,43.05833333,-118.7930556,Great Basin-Colorado Plateau,Private,624.788992396622,587.176655593088,-6.02000631593347,0.443784934717906
Lava Swamp,43.06722222,-118.8288889,Great Basin-Colorado Plateau,Private,508.019108529271,445.123975575051,-12.3804659900102,0.118083439115962
Silver Lake Lake Co,43.1217,-120.9295,Great Basin-Colorado Plateau,Private,712.146351863113,407.638208773866,-42.7592084537953,0.118083439115962
Paulina Marsh,43.1551,-120.9788,Great Basin-Colorado Plateau,Private,714.347084217498,409.365660066439,-42.6937312252263,0.118083439115962
Ibis Pond,43.20666667,-118.905,Great Basin-Colorado Plateau,Private,2428.87347675939,454.485803745568,-81.2882059072116,0.0000154079123083585
Wrights Pond,43.225,-118.8780556,Great Basin-Colorado Plateau,Private,2995.33855600566,538.160216024851,-82.0334093805243,0.0000122437109376577
Sodhouse Bay,43.24472222,-118.8730556,Great Basin-Colorado Plateau,Private,4091.45095595439,749.584135999637,-81.6792589213675,0.0000122437109376577
