SiteName,Latitude,Longitude,Num of Nests,Num Breeding Birds,Actual Bird Count,Year,Month,County,State,Count Type,Incidental Obs?,Nesting,nestStat
Rock Creek,41.198266,-116.704147,40,80,,2010,"",Elko,NV,Pairs,No,Yes,2
Twenty-mile Slough,42.13611111,-119.8838889,1128,2256,,2010,"",Lake,OR,Pairs,No,Yes,2
Diamond Swamp,43.03333333,-118.7938889,1729,3458,,2010,"",Harney,OR,Pairs,No,Yes,2
Greaser Reservoir,42.1481,-119.8303,22,44,,2010,"",Lake,OR,Pairs,No,Yes,2
Malheur Lake,43.291542,-118.8199273,0,0,,2009,"",Harney,OR,Pairs,No,No,1
North Jones,,,217,434,,2010,"","",OR,Pairs,No,Yes,2
Sycan Marsh,42.83611111,-121.065,30,60,,2010,"",Lake,OR,Pairs,No,Yes,2
Bear River MBR,41.485882,-112.327199,10775,21550,,2009,"",Box Elder,UT,Pairs,No,Yes,2
Ogden Bay WMA,41.178333,-112.195,2387,4774,,2009,"",Weber,UT,Pairs,No,Yes,2
Ambler Spring,41.905218,-106.049253,0,0,,2010,"",Albany,WY,Pairs,No,No,1
Carroll Lake,41.413979,-105.717884,0,0,,2010,"",Albany,WY,Pairs,No,No,1
Cokeville Meadows NWR,41.924071,-110.990207,0,0,,2009,"",Lincoln,WY,Pairs,No,No,1
Hutton Lake NWR,41.178731,-105.725694,76,152,,2009,"",Albany,WY,Adults,No,Yes,2
