blobID,T1,T2,change,pValue,ChangeCat,colorCode
54,10663.2602763698,7472.7021489251,-0.299210377009655,0.00000760539625232915,SigDecrease,2
55,9294.04402859246,7870.9820160517,-0.153115479995879,0.000000166266269208007,SigDecrease,2
56,3535.92071673477,4302.00450771658,0.216657513658636,0.118083439115962,Stable_Increase,0
57,20580.8037739835,17794.6958110395,-0.135374108491621,0.000036881972314935,SigDecrease,2
58,16744.4154939523,19640.1623940891,0.172938070079704,0.0279096325000368,Stable_Increase,0
59,1223.79962942943,1155.15824860358,-0.0560887413063279,0.000908297201916097,SigDecrease,2
60,7552.78032851032,6907.13675940661,-0.0854842244870445,0.0531138179773964,NonSigDecrease,1
61,4380.60997792553,4573.08522394217,0.0439380010972337,0.465378817853854,Stable_Increase,0
62,2203.35556875274,1808.02847944115,-0.179420468905697,0.260359756840209,NonSigDecrease,1
63,33077.6280860049,29791.8987045143,-0.0993338873315652,0.109671260646537,NonSigDecrease,1
64,4689.81852190542,6717.02607472971,0.432257142436434,0.275974818065063,Stable_Increase,0
65,7774.50148876869,8330.36551443288,0.0714983496327331,0.581369497720999,Stable_Increase,0
66,62217.386834206,55389.0544081461,-0.109749585662537,0.156700804474201,NonSigDecrease,1
67,5506.086186606,5195.33287714522,-0.0564381484286809,0.292198722370563,NonSigDecrease,1
68,59606.1334224119,44448.5372296682,-0.254295914236309,0.000145186448808831,SigDecrease,2
69,2770.62882695519,2298.03270941816,-0.170573594318804,0.0108956188846634,SigDecrease,2
70,50019.8622321018,25993.9208822524,-0.480328019264915,0.00418947289230314,SigDecrease,2
